sources,target,author,date,statement,processed_statement
Facebook posts,0,Ciara O'Rourke,"October 20, 2021",Says Christopher Miller is “in charge of the military.”,says christopher miller is in charge of the military
Hal Turner Radio Show,0,Gabrielle Settles,"October 20, 2021",Photo of vaccine package with 2018 date stamp shows COVID-19 outbreak was planned.,photo of vaccine package with date stamp shows covid outbreak was planned
Instagram posts,0,Samantha Putterman,"October 20, 2021","The FEMA health care workers replacing the noncompliant nurses and doctors are NOT required to get vaccinated via the CDC.""",the fema health care workers replacing the noncompliant nurses and doctors are not required to get vaccinated via the cdc
Facebook posts,0,Ciara O'Rourke,"October 20, 2021",“Mass media destroyed! Blackout for mass arrests event!”,mass media destroyed blackout for mass arrests event
Instagram posts,0,Samantha Putterman,"October 20, 2021",A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.,a nurse who fainted after receiving the covid vaccine died from the vaccination
X posts,0,Bill McCarthy,"October 20, 2021","Desmond Tutu died on Oct. 20, 2021.",desmond tutu died on october
Jeff Jackson,1,Paul Specht,"October 20, 2021",“The five most-endangered hospitals in the country are all in (North Carolina).”,the five most endangered hospitals in the country are all in north carolina
Glenn Youngkin,1,Warren Fiske,"October 20, 2021",“Virginia has the lowest standards for math and reading of all 50 states.”,virginia has the lowest standards for math and reading of all states
Bloggers,0,Ciara O'Rourke,"October 19, 2021","A new federal program “is giving homeowners up to $3,708 every year.”",a new federal program is giving homeowners up to every year
Facebook posts,0,Noah Y.,"• October 19,",There is an “epidemic of plane crashes linked to vaccine-related strokes in pilots.”,there is an epidemic of plane crashes linked to vaccine related strokes in pilots
The Gateway Pundit,0,Amy Sherman,"October 19, 2021",Democrats “manufactured votes from low income voters to steal the battleground states.”,democrats manufactured votes from low income voters to steal the battleground states
Facebook posts,0,Bill McCarthy,"October 19, 2021","A photo shows a $123,199 turkey for sale at Target “this year.”",a photo shows a turkey for sale at target this year
Facebook posts,0,Tom Kertscher,"October 19, 2021","In the United Kingdom,  “81% of COVID-19 deaths are among the vaccinated.”",in the united kingdom of covid deaths are among the vaccinated
Facebook posts,1,Tom Kertscher,"October 19, 2021","""Tennessee new law passed 48 hours ago now makes it illegal to teach Black history in the grades K-12.""",tennessee new law passed hours ago now makes it illegal to teach black history in the grades k
YouTube videos,1,Tom Kertscher,"October 19, 2021","COVID-19 “surges among most vaxxed communities, says Harvard study.”",covid surges among most vaxxed communities says harvard study
Facebook posts,1,Samantha Putterman,"October 19, 2021","California’s shipping backlog is, in part, caused by a “California Truck Ban which says all trucks must be 2011 or newer and a law called AB 5 which prohibits Owner Operators.”",california s shipping backlog is in part caused by a california truck ban which says all trucks must be or newer and a law called ab which prohibits owner operators
Facebook posts,0,Samantha Putterman,"October 18, 2021",Says Hunter Biden “was hanged at Gitmo.”,says hunter biden was hanged at gitmo
Facebook posts,0,Bill McCarthy,"October 18, 2021",A photo shows sex traffickers using an abandoned child car seat to lure in victims.,a photo shows sex traffickers using an abandoned child car seat to lure in victims
Instagram posts,0,Madison Czopek,"October 18, 2021","“Parents who challenge school curriculums are domestic terrorist(s).""",parents who challenge school curriculums are domestic terrorist s
Instagram posts,1,Kayla Steinberg,"October 15, 2021",Says Dr. Anthony Fauci said he will not “take a PCR COVID test.”,says dr anthony fauci said he will not take a pcr covid test
Instagram posts,1,Andy Nguyen,"October 15, 2021",Over 2 million injuries from COVID-19 vaccines have been reported to the World Health Organization.,over million injuries from covid vaccines have been reported to the world health organization
Facebook posts,0,Gabrielle Settles,"October 15, 2021",Pfizer vaccine contains living particles that can germinate to cause sickness.,pfizer vaccine contains living particles that can germinate to cause sickness
Instagram posts,1,Tom Kertscher,"October 15, 2021","""The media is pretty quiet about Florida's decline in COVID cases. No mask mandates or vaccine mandates.""",the media is pretty quiet about florida s decline in covid cases no mask mandates or vaccine mandates
Viral image,0,Ciara O'Rourke,"October 15, 2021","“Bill Clinton death ruled a homicide, death by poison.”",bill clinton death ruled a homicide death by poison
Heartland Institute,1,Jon Greenberg,"October 15, 2021",“U.S. acres burned each year are much fewer now — even in our worst years — than was the case in the early 20th century.”,you s acres burned each year are much fewer now even in our worst years than was the case in the early th century
Bryan Steil,1,D.L. Davis,"October 15, 2021","Says Joe Biden's IRS reform proposals ""would require banks and credit unions to hand over private information about routine transactions to the IRS.""",says joe biden s irs reform proposals would require banks and credit unions to hand over private information about routine transactions to the irs
X posts,0,Ciara O'Rourke,"October 14, 2021",The percentage of vaccinated employees at United Airlines increased after the mandate because unvaccinated employees left the company.,the percentage of vaccinated employees at united airlines increased after the mandate because unvaccinated employees left the company
The Gateway Pundit,0,Tom Kertscher,"October 14, 2021",Dr. Anthony Fauci and U.S. health officials plotted “for a new avian flu virus to enforce universal flu vaccination.”,dr anthony fauci and you s health officials plotted for a new avian flu virus to enforce universal flu vaccination
Byron Brown,0,Jill Terreri,"• October 14,","“My opponent’s plan for people who commit sexual assault, sexual predators, is no jail time.”",my opponent s plan for people who commit sexual assault sexual predators is no jail time
Joe Biden,1,Louis Jacobson,"October 14, 2021","People who are vaccinated for the coronavirus “cannot spread it to you.""",people who are vaccinated for the coronavirus cannot spread it to you
Bloggers,0,Ciara O'Rourke,"October 14, 2021",“Pfizer admits there’s no vaccine approved by FDA.”,pfizer admits there is no vaccine approved by fda
Mark Pocan,1,Laura Schulte,"October 14, 2021","“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",the annual pentagon budget hovers over billion annually twice that of the much debated build back better act that costs about billion annually as currently proposed
Viral image,1,Madison Czopek,"October 13, 2021",“Roe was the end of women dying from abortions.”,roe was the end of women dying from abortions
Joe Biden,1,Louis Jacobson,"October 13, 2021",“Raising the debt limit is paying our old debts. It has nothing to do with new spending.”,raising the debt limit is paying our old debts it has nothing to do with new spending
Bloggers,0,Ciara O'Rourke,"October 13, 2021",“Europe COMPLETELY BANS the Moderna vaccine for young people.”,europe completely bans the moderna vaccine for young people
Kimberly Klacik,0,Bill McCarthy,"October 13, 2021",An image of empty grocery store shelves shows the effect of President Joe Biden's “Build Back Better” plan.,an image of empty grocery store shelves shows the effect of president joe biden s build back better plan
Viral image,0,Tom Kertscher,"October 13, 2021","“Under part 2 of the infrastructure bill, upon death the entire value of your accumulated wealth and estate will be taxed at 61%.”",under part of the infrastructure bill upon death the entire value of your accumulated wealth and estate will be taxed at
Viral image,0,Samantha Putterman,"October 13, 2021",Photo shows hundreds of “sitting ships” waiting to dock at U.S. ports.,photo shows hundreds of sitting ships waiting to dock at you s ports
Viral image,0,Ciara O'Rourke,"October 13, 2021",The Pfizer COVID-19 vaccines contain a deadly parasite.,the pfizer covid vaccines contain a deadly parasite
Bloggers,0,Ciara O'Rourke,"October 13, 2021","“Vaxxed Delta pilot dies in-flight, emergency landing required.”",vaxxed delta pilot dies in flight emergency landing required
Patrick Testin,1,Alan Hovorka,"October 13, 2021","""The vast majority of the (refugees) coming into Fort McCoy are not the SIVs"" and some have ""no documentation at all.""",the vast majority of the refugees coming into fort mccoy are not the sivs and some have no documentation at all
TikTok posts,1,Gabrielle Settles,"October 12, 2021",“Paris police beat a woman for shopping at a mall with no vaccine passport.”,paris police beat a woman for shopping at a mall with no vaccine passport
Instagram posts,0,Noah Y.,"• October 12,","Department of Homeland Security “deemed as terrorism” behavior that includes “resisting COVID regulations” and “thinking the election was rigged.”...“In other words, if you are a Trump supporter, you are a terrorist.”",department of homeland security deemed as terrorism behavior that includes resisting covid regulations and thinking the election was rigged in other words if you are a trump supporter you are a terrorist
Facebook posts,0,Bill McCarthy,"October 12, 2021",A photo shows paleontologists in Greece discovering the skeleton of a giant.,a photo shows paleontologists in greece discovering the skeleton of a giant
Viral image,0,Jon Greenberg,"October 12, 2021",A wind turbine “could never generate as much energy as was invested in building it.”,a wind turbine could never generate as much energy as was invested in building it
Glenn Youngkin,0,Warren Fiske,"October 12, 2021",“Terry (McAuliffe) calls in his friend Joe Biden to actually put the DOJ on Virginia parents.”,terry mcauliffe calls in his friend joe biden to actually put the doj on virginia parents
Candace Owens,1,Samantha Putterman,"October 11, 2021","“The Biden administration is attempting to empower the IRS to monitor every single withdrawal, deposit, and transaction you make from your personal banking accounts, PayPal, Venmo, etc.""",the biden administration is attempting to empower the irs to monitor every single withdrawal deposit and transaction you make from your personal banking accounts paypal venmo etc
X posts,0,Bill McCarthy,"October 11, 2021","“Countless Southwest Airlines employees have walked out of their jobs to oppose the vaccine mandate, causing operations to effectively shut down.”",countless southwest airlines employees have walked out of their jobs to oppose the vaccine mandate causing operations to effectively shut down
Bloggers,0,Gabrielle Settles,"October 11, 2021","""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""",bill gates talked about using vaccines to control population growth in an unedited ted talk video
Rick Scott,0,Jon Greenberg,"October 11, 2021","""Joe Biden’s attorney general wants the FBI to go after parents for speaking out at school board meetings to protect kids from radical curriculum like critical race theory.""",joe biden s attorney general wants the fbi to go after parents for speaking out at school board meetings to protect kids from radical curriculum like critical race theory
Kimberly Klacik,1,Tom Kertscher,"October 8, 2021","""It's been confirmed that the Pfizer” COVID-19 “vaccine isn't guaranteed after six months.""",it is been confirmed that the pfizer covid vaccine is not guaranteed after six months
Viral image,0,Bill McCarthy,"October 8, 2021",Facebook planted Frances Haugen as its own pretend whistleblower.,facebook planted frances haugen as its own pretend whistleblower
Facebook posts,0,Louis Jacobson,"October 8, 2021","“In case you forgot. Two years ago today, we were experiencing the greatest economy in the history of the world.”",in case you forgot two years ago today we were experiencing the greatest economy in the history of the world
Pat McCrory,1,Paul Specht,"October 8, 2021",Ted Budd’s family used AgriBioTech money to help “give donations to these Washington special interest groups that are running negative ads against me in the Senate race.”,ted budd s family used agribiotech money to help give donations to these washington special interest groups that are running negative ads against me in the senate race
Facebook posts,0,Louis Jacobson,"October 8, 2021","“Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600‼️ per head of cattle? $500 for swine!!!""",were you aware the trillion human infrastructure package includes an animal agriculture tax of per head of cattle for swine
Joe Biden,1,Louis Jacobson,"October 8, 2021","""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”",thirty years ago the united states ranked sixth among advanced economies in the share of women in the workforce you know where we are today twenty three
X posts,0,Tom Kertscher,"October 7, 2021","“CDC numbers” show that among children, the Pfizer and Moderna COVID-19 vaccines have a death rate “174 times higher” than the COVID-19 death rate.",cdc numbers show that among children the pfizer and moderna covid vaccines have a death rate times higher than the covid death rate
YouTube videos,0,Samantha Putterman,"October 7, 2021",A person’s immune system “tanks” after their second COVID-19 vaccine dose.,a person s immune system tanks after their second covid vaccine dose
Will Cain,0,Bill McCarthy,"October 7, 2021","""You are more likely, as a child, to end up in the hospital because of the vaccine than you are because of COVID. That's data from the CDC and from VAERS.""",you are more likely as a child to end up in the hospital because of the vaccine than you are because of covid that is data from the cdc and from vaers
Viral image,0,Tom Kertscher,"October 7, 2021",President Joe Biden cut “$30 billion to Black colleges and universities.”,president joe biden cut billion to black colleges and universities
10 GOP Louisiana Lawmakers,0,Jon Greenberg,"October 7, 2021",“There is no FDA approval for the Pfizer BioNTech vaccine for COVID-19.”,there is no fda approval for the pfizer biontech vaccine for covid
TikTok posts,0,Gabrielle Settles,"October 7, 2021",“COVID internment camps announced in America: Tennessee governor signs EO authorizing National Guard to carry out COVID medical kidnappings.”,covid internment camps announced in america tennessee governor signs eo authorizing national guard to carry out covid medical kidnappings
Anthony Fauci,1,Jon Greenberg,"October 6, 2021",“There are precious few religions that actually say you cannot” get vaccinated.,there are precious few religions that actually say you cannot get vaccinated
Joe Biden,1,Amy Sherman,"October 6, 2021",“Raising the debt limit is usually a bipartisan undertaking.”,raising the debt limit is usually a bipartisan undertaking
Ron Johnson,0,Allison Garfield,"October 5, 2021",“We do not have an approved (COVID) vaccine in America … the Pfizer vaccine available in the U.S. is not FDA approved.”,we do not have an approved covid vaccine in america the pfizer vaccine available in the you s is not fda approved
Carol Miller,1,Elisa Contreras,"October 5, 2021","“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”",we became a net exporter of natural gas in and until recently our exports have exceeded our imports
Instagram posts,0,Tom Kertscher,"October 5, 2021","""New data shows that death is proportional to dose"" for COVID-19.",new data shows that death is proportional to dose for covid
Shelley Moore Capito,1,Maxwell Ionno,"October 5, 2021","“In West Virginia, a gallon of gas is nearly one dollar more than it was a year ago, and we’re paying about 30 cents more for a gallon of milk than we did at this time last year.”",in west virginia a gallon of gas is nearly one dollar more than it was a year ago and we are paying about cents more for a gallon of milk than we did at this time last year
Bernie Sanders,1,Louis Jacobson,"October 5, 2021","""The pharmaceutical industry has 1,400 lobbyists on Capitol Hill right now trying to stop"" Medicare drug price negotiation.",the pharmaceutical industry has lobbyists on capitol hill right now trying to stop medicare drug price negotiation
Instagram posts,0,Samantha Putterman,"October 5, 2021","“Sophia Stewart wrote books in the 70s that were stolen from her by Warner Bros. (Terminator 1-4 & The Matrix 1 & 2!) ... she won Hollywood's biggest lawsuit, $2.5 Billion.”",sophia stewart wrote books in the s that were stolen from her by warner bros terminator the matrix she won hollywood s biggest lawsuit billion
Kathryn Moffett Bradford,1,Emma Copley,"October 5, 2021","“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",if you look at the hospitalizations at ruby memorial in west virginia and around the country to of those hospitalized are unvaccinated
David McKinley,1,John Brumley,"October 5, 2021",“Overdose deaths in WV are up 45% from the prior year.”,overdose deaths in wv are up from the prior year
TikTok posts,0,Jon Greenberg,"October 5, 2021",Says 86% of COVID-19 cases in Israel in July were in fully vaccinated individuals.,says of covid cases in israel in july were in fully vaccinated individuals
Tony Evers,1,D.L. Davis,"October 5, 2021",On tax cuts and repealing Wisconsin’s personal property tax on businesses.,on tax cuts and repealing wisconsin s personal property tax on businesses
Facebook posts,0,Noah Y.,"• October 4,","“This ‘infrastructure bill’ on page 2,385 presents a federal property tax of 3 percent on all homes and land - both residential and commercial.”",this infrastructure bill on page presents a federal property tax of percent on all homes and land both residential and commercial
Cori Bush,1,Amy Sherman,"October 4, 2021","“Approximately 60,000 Canadians currently live undocumented in the USA.”",approximately canadians currently live undocumented in the usa
Terri Bryant,0,Kiannah Sepeda-Miller,"October 3, 2021",“75% of Republicans have been vaccinated” against COVID-19 in Illinois.,of republicans have been vaccinated against covid in illinois
Bloggers,0,Gabrielle Settles,"October 1, 2021","""Millions have died from COVID injections.""",millions have died from covid injections
Instagram posts,0,Andy Nguyen,"October 1, 2021",The Pfizer COVID-19 vaccine contains an “undisclosed ingredient. … How is informed consent possible?”,the pfizer covid vaccine contains an undisclosed ingredient how is informed consent possible
Viral image,0,Tom Kertscher,"October 1, 2021",“The vaccination campaign” increased COVID-19 deaths by 175% in one year.,the vaccination campaign increased covid deaths by in one year
Instagram posts,0,Bill McCarthy,"October 1, 2021",“Biden orders dishonorable discharge for 46% of troops who refuse vaccine.”,biden orders dishonorable discharge for of troops who refuse vaccine
Facebook posts,1,Isabella Fertel,"October 1, 2021",“There are now 56 cargo freighters anchored off the coast of California from Oakland to Long Beach in what can only be considered a manufactured supply-chain halt.”,there are now cargo freighters anchored off the coast of california from oakland to long beach in what can only be considered a manufactured supply chain halt
Don Lemon,1,Jon Greenberg,"September 30, 2021",Says Sens. Joe Manchin and Kyrsten Sinema “are Republicans … Just look at the way they vote.”,says sens joe manchin and kyrsten sinema are republicans just look at the way they vote
Bloggers,0,Noah Y.,"• September 30,","Norway decided “that (the coronavirus) should be treated like other respiratory diseases, such as the flu or cold, because… it is no more dangerous than those mentioned.”",norway decided that the coronavirus should be treated like other respiratory diseases such as the flu or cold because it is no more dangerous than those mentioned
Facebook posts,0,Amy Sherman,"September 30, 2021","“Arizona audit” shows 86,391 voters “don’t appear to exist.”",arizona audit shows voters do not appear to exist
Bloggers,0,Tom Kertscher,"September 30, 2021","""Pfizer launches final study for COVID drug that's suspiciously similar to 'horse paste'” ivermectin.",pfizer launches final study for covid drug that is suspiciously similar to horse paste ivermectin
Instagram posts,1,Samantha Putterman,"September 30, 2021","The government pays out ""$2,125/month in refugee benefits to refugees resettled in the United States,"" while Social Security recipients “who have paid into the system their whole lives receive $1,400/month on average.""",the government pays out month in refugee benefits to refugees resettled in the united states while social security recipients who have paid into the system their whole lives receive month on average
Facebook posts,0,Louis Jacobson,"September 30, 2021",The White House “created a fake set for (President Joe) Biden to get his booster shot. The entire Biden presidency is one giant charade.”,the white house created a fake set for president joe biden to get his booster shot the entire biden presidency is one giant charade
Instagram posts,0,Gabrielle Settles,"September 30, 2021",VAERS reports show that babies whose mothers got the COVID-19 vaccine died after breastfeeding.,vaers reports show that babies whose mothers got the covid vaccine died after breastfeeding
Instagram posts,1,Tom Kertscher,"September 30, 2021","The audit of the 2020 presidential election in Maricopa County, Ariz., “cost the taxpayers $6 million.”",the audit of the presidential election in maricopa county ariz cost the taxpayers million
Glenn Grothman,1,Laura Schulte,"September 30, 2021",Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.,says the you s national archives put a harmful content warning on our nation s founding documents
Facebook posts,0,Noah Y.,"• September 29,",The Biden-backed infrastructure bill contains a provision establishing a per-mile driving tax.,the biden backed infrastructure bill contains a provision establishing a per mile driving tax
Viral image,1,Tom Kertscher,"September 29, 2021","There are 500,000 “missing kids a year.”",there are missing kids a year
Facebook posts,0,Amy Sherman,"September 29, 2021",Arizona “could decertify” the 2020 presidential election,arizona could decertify the presidential election
Common Sense Leadership Fund,1,Jon Greenberg,"September 29, 2021",Democrats “want to tax your retirement funds to pay for their new trillion dollar power grab.”,democrats want to tax your retirement funds to pay for their new trillion dollar power grab
FreedomWorks,1,Tom Kertscher,"September 29, 2021",“The Democrats want you American taxpayers to shell out $3 billion for ‘non-racist’ trees.”,the democrats want you american taxpayers to she will out billion for non racist trees
Terry McAuliffe,0,Warren Fiske,"September 29, 2021",On qualified immunity,on qualified immunity
Instagram posts,0,Bill McCarthy,"September 28, 2021","A 13-year-old girl ""is now in critical care in the hospital here in Halifax because her heart stopped right after she had a vaccine.""",a year old girl is now in critical care in the hospital here in halifax because her heart stopped right after she had a vaccine
Facebook posts,0,Noah Y.,"• September 28,",News cameras “shut off” just as Biden was asked if he gave the Taliban a “hit list” of evacuating American and Afghan officials.,news cameras shut off just as biden was asked if he gave the taliban a hit list of evacuating american and afghan officials
Donald Trump,0,Amy Sherman,"September 28, 2021",Says Biden “didn’t win in Arizona. He lost in Arizona based on the forensic audit.”,says biden did not win in arizona he lost in arizona based on the forensic audit
Instagram posts,1,Louis Jacobson,"September 28, 2021","A funeral home used a truck to advertise the message ""Don't get vaccinated.""",a funeral home used a truck to advertise the message do not get vaccinated
Instagram posts,0,Samantha Putterman,"September 28, 2021","""Breaking news — US Supreme Court has canceled universal vaccination in the United States.""",breaking news us supreme court has canceled universal vaccination in the united states
Instagram posts,0,Bill McCarthy,"September 28, 2021","""Maricopa County official purged machine records before audit started.""",maricopa county official purged machine records before audit started
60 Plus Association,0,Victoria Knight,"September 28, 2021",Insurance companies and Washington bureaucrats “are working together to swipe $500 billion from Medicare to pay for Pelosi and Schumer’s out-of-control spending spree.”,insurance companies and washington bureaucrats are working together to swipe billion from medicare to pay for pelosi and schumer s out of control spending spree
Viral image,0,Tom Kertscher,"September 28, 2021","“The yearly cost of religious tax exemptions: $71 billion. If the church paid taxes, everyone would only have to pay 3% taxes.”",the yearly cost of religious tax exemptions billion if the church paid taxes everyone would only have to pay taxes
Madison Cawthorn,1,Paul Specht,"September 28, 2021",Children and teen suicide attempts “skyrocketed 250% in 2020” according to “one study done by a hospital.”,children and teen suicide attempts skyrocketed in according to one study done by a hospital
Viral image,1,Tom Kertscher,"September 27, 2021",“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”,the naacp wants the confederate memorial carving sandblasted off stone mountain
TikTok posts,1,Tom Kertscher,"September 27, 2021","""Verizon promotes defunding the police and (the) idea that America is fundamentally racist.""",verizon promotes defunding the police and the idea that america is fundamentally racist
TikTok posts,0,Madison Czopek,"September 27, 2021","Says doctors received a letter stating that if they “say anything bad about the vaccine,” they are “at risk of losing their medical license. How messed up is that s---?”",says doctors received a letter stating that if they say anything bad about the vaccine they are at risk of losing their medical license how messed up is that s
Facebook posts,0,Noah Y.,"• September 27,","“The Arizona forensic audit found over 17,000 duplicates of votes.”",the arizona forensic audit found over duplicates of votes
Rick Scott,1,Jon Greenberg,"September 27, 2021","“Democrats are responsible for the massive spending and debt growth, they alone need to take responsibility for raising the debt limit.”",democrats are responsible for the massive spending and debt growth they alone need to take responsibility for raising the debt limit
Instagram posts,0,Samantha Putterman,"September 24, 2021",The FDA advisory board said unvaccinated people are more educated than most people who have gotten the COVID-19 vaccines.,the fda advisory board said unvaccinated people are more educated than most people who have gotten the covid vaccines
Chris Larson,1,D.L. Davis,"September 24, 2021","The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",the gop controlled legislature has refused to act on at least appointees of gov tony evers
Facebook posts,0,Gabrielle Settles,"September 24, 2021",Says Canadian Prime Minister Justin Trudeau and wife Sophie faked their COVID-19 vaccinations on live television.,says canadian prime minister justin trudeau and wife sophie faked their covid vaccinations on live television
Instagram posts,1,Tom Kertscher,"September 24, 2021","Says Joe Biden said: “If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.”",says joe biden said if haiti just quietly sunk into the caribbean or rose up feet it would not matter a whole lot in terms of our interests
India Walton,1,Jill Terreri,"• September 24,","Under Mayor Byron Brown, “we’ve been defunding community centers, our pools were closed this summer, we’ve been defunding senior and youth services.”",under mayor byron brown we have been defunding community centers our pools were closed this summer we have been defunding senior and youth services
Alberta Darling,1,Madeline Heim,"September 24, 2021",“Wisconsin Governor (Tony) Evers wanted to raise your taxes by $1 billion in a pandemic. Republicans stopped him and delivered the largest tax CUT in state history.”,wisconsin governor tony evers wanted to raise your taxes by billion in a pandemic republicans stopped him and delivered the largest tax cut in state history
Facebook posts,0,Andy Nguyen,"September 23, 2021","A ""Liability Warning Acknowledgement Form"" allows a worker to sue their company if they get injured from the COVID-19 vaccine.",a liability warning acknowledgement form allows a worker to sue their company if they get injured from the covid vaccine
Facebook posts,1,Amy Sherman,"September 23, 2021",Haitian migrants took an implausible route to Texas-Mexico border area.,haitian migrants took an implausible route to texas mexico border area
Gary Palmer,1,Jon Greenberg,"September 23, 2021","“As a result of the massive decline in natural gas prices, we’re saving 11,000 lives per year in the U.S.”",as a result of the massive decline in natural gas prices we are saving lives per year in the you s
Terry McAuliffe,1,Warren Fiske,"September 23, 2021",“Time and again Glenn Youngkin has made it clear: He would ban abortion as governor.”,time and again glenn youngkin has made it clear he would ban abortion as governor
Steve Kirsch,0,Tom Kertscher,"September 22, 2021","""Pfizer vaccine kills more people than it saves.""",pfizer vaccine kills more people than it saves
Facebook posts,0,Ciara O'Rourke,"September 21, 2021",Says the COVID-19 vaccine doesn’t “prevent catching or spreading” the virus “and only lasts months.”,says the covid vaccine does not prevent catching or spreading the virus and only lasts months
Jennifer Granholm,1,Duncan Slade,"September 21, 2021","“West Virginia University just came out with a study that showed that there will be almost 20,000 jobs created in clean energy in West Virginia if (President Joe Biden’s) agenda is passed.”",west virginia university just came out with a study that showed that there will be almost jobs created in clean energy in west virginia if president joe biden s agenda is passed
Bloggers,0,Ciara O'Rourke,"September 21, 2021",“The CDC and county health officials have obtained 2020 Census records to enhance their vaccination enforcement protocols.”,the cdc and county health officials have obtained census records to enhance their vaccination enforcement protocols
Gwen Moore,1,Laura Schulte,"September 21, 2021",“President Biden has created more jobs in his first 7 months than any POTUS in history.”,president biden has created more jobs in his first months than any potus in history
Richard Ojeda,1,Zach DeLuca,"September 21, 2021",The United States spent “2 trillion dollars to train and equip the Afghan military over the past 20 years. They fell in a week.”,the united states spent trillion dollars to train and equip the afghan military over the past years they fell in a week
Viral image,0,Tom Kertscher,"September 20, 2021","""Peak active cases” of COVID-19 for 2020 vs. 2021 show “this is not a ‘pandemic of the unvaccinated.'""",peak active cases of covid for vs show this is not a pandemic of the unvaccinated
Viral image,0,Ciara O'Rourke,"September 20, 2021",Photos show the health ministers of Canada and Los Angeles.,photos show the health ministers of canada and los angeles
Viral image,0,Ciara O'Rourke,"September 20, 2021",Photo shows a gravestone in Japan with a QR code.,photo shows a gravestone in japan with a qr code
Facebook posts,0,Tom Kertscher,"September 20, 2021","“Hundreds of thousands died after taking the advice of these celebrities,” who are “aiding and abetting mass murder” by advocating COVID-19 vaccination.",hundreds of thousands died after taking the advice of these celebrities who are aiding and abetting mass murder by advocating covid vaccination
Richard Hudson,1,Paul Specht,"September 20, 2021","Says U.S. left 33 Black Hawks to the Taliban, which has more than “85%” of all countries.",says you s left black hawks to the taliban which has more than of all countries
Instagram posts,0,Ciara O'Rourke,"September 17, 2021",“CDC says expect a polio-like outbreak coming in children in the next four months.”,cdc says expect a polio like outbreak coming in children in the next four months
Viral image,0,Ciara O'Rourke,"September 17, 2021","Says Tim Tebow wrote, “The government might be preparing us for a cashless society, but it was predicted by the Bible.”",says tim tebow wrote the government might be preparing us for a cashless society but it was predicted by the bible
TikTok posts,0,Noah Y.,"• September 17,",Says President Joe Biden told people to get vaccinated against COVID-19 to protect themselves from hurricanes.,says president joe biden told people to get vaccinated against covid to protect themselves from hurricanes
TikTok posts,0,Tom Kertscher,"September 17, 2021",The Pfizer COVID-19 vaccine “is not approved.”,the pfizer covid vaccine is not approved
Melissa Agard,1,D.L. Davis,"September 17, 2021","""No other country on the planet witnesses the number of gun deaths that 
we do here in the United States, and it’s not even close.""",no other country on the planet witnesses the number of gun deaths that we do here in the united states and it is not even close
Mariannette Miller-Meeks,0,Natalie Dunlap,"September 17, 2021",“My opponent wants to abolish” law enforcement.,my opponent wants to abolish law enforcement
Viral image,0,Ciara O'Rourke,"September 17, 2021",“Ida was the strongest hurricane to ever strike anywhere in the United States.”,ida was the strongest hurricane to ever strike anywhere in the united states
Facebook posts,0,Gabrielle Settles,"September 16, 2021",Photo shows Rihanna is pregnant,photo shows rihanna is pregnant
Facebook posts,0,Gabrielle Settles,"September 16, 2021",Says 2010 video clip showing coffins in a field proves “COVID was planned.”,says video clip showing coffins in a field proves covid was planned
Viral image,0,Ciara O'Rourke,"September 16, 2021","Says Alexandria Ocasio-Cortez spent $30,000 to attend the Met Gala and “God knows how much on that dress.”",says alexandria ocasio cortez spent to attend the met gala and god knows how much on that dress
Viral image,1,Ciara O'Rourke,"September 16, 2021",Says a new Apple update will “scan U.S iPhones for images.”,says a new apple update will scan you s iphones for images
Eric Toney,0,Alan Hovorka,"September 16, 2021",Says he “is the only candidate in the Wisconsin Attorney General race with experience as a prosecutor.”,says he is the only candidate in the wisconsin attorney general race with experience as a prosecutor
Infowars,1,Tom Kertscher,"September 15, 2021",“Biden’s Treasury Department declares IRS will monitor” all accounts over $600.,biden s treasury department declares irs will monitor all accounts over
Viral image,0,Ciara O'Rourke,"September 15, 2021","Says a CNN broadcast shows “400,000 votes just disappeared” in the California recall election.",says a cnn broadcast shows votes just disappeared in the california recall election
Ron DeSantis,1,Jon Greenberg,"September 15, 2021",People who “have recovered (from COVID-19) have very strong immunity.”,people who have recovered from covid have very strong immunity
Facebook posts,1,Ciara O'Rourke,"September 15, 2021",“Ivermectin has been FDA approved for human use since 1996.”,ivermectin has been fda approved for human use since
Empower Wisconsin,0,Vanessa Swales,"September 15, 2021",Says of Gov. Tony Evers and 2020 violence in Kenosha after the police shooting of Jacob Blake: “It took the loss of lives before help finally came.”,says of gov tony evers and violence in kenosha after the police shooting of jacob blake it took the loss of lives before help finally came
